term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
GEOPHYSICAL__bin_lead_avg,0.33062449324577825,5.936105827050074,5.044405810944279,3.6352962578507313
POISONING_lead_avg,0.004423045965636609,2.057075711824796,0.31023357613469316,2.9021047028688587
POISONING__bin_lead_avg,0.008862851743388146,2.0553377631036494,0.30992676760910265,2.902402469903386
INTRASTATE_lead_avg,0.13343520904498257,0.387223622584386,0.024779692554388156,0.16878961321517252
ECONOMIC_lead_avg,0.3254592064984184,0.33603831277478935,0.0173448198675602,0.1765292142327566
CLIMATIC_lead_avg,0.3025566800525576,0.165928585146123,0.01544627416946041,0.09362564478683984
TECHNOLOGICAL_lead_avg,0.005331803198637643,0.04690806501514975,0.00502771377110279,0.030912358833744935
TERRORISM_lead_avg,0.0011548940246094567,0.0011214450655340103,0.00022628514652163286,0.0018000000000000002
ECOLOGICAL_lead_avg,0.0853063077342652,-0.053169450029751424,0.24468292815735118,0.6887725027244206
ECOLOGICAL__bin_lead_avg,0.09976093154338243,-0.2720777533631354,0.21429008764216922,0.7660951962320094
INTERSTATE__bin_lead_avg,0.29269780994629613,-3.9221175825374397,0.13809999544799595,1.9138116849062943
INTERSTATE_lead_avg,0.1743526261689789,-3.9608708831708586,0.15948109198097735,1.913302556702162
GEOPHYSICAL_lead_avg,0.21410995239415995,-6.53822598157668,4.556881110829069,4.293114401862067
