term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
GEOPHYSICAL,0.7301264169773363,18.600350530260254,4.432454488909745,3814.148335531884
POISONING__bin,0.002358338831676678,1.1400139652522387,0.03244172511752845,1.2703939421142532
INTRASTATE,0.029442244233967216,0.28657693955132,0.0051957857858318055,0.14613166911823453
INTERSTATE__bin,0.009328737351915485,0.20776380661997043,0.02906839026030285,0.5981454878201573
CLIMATIC,0.2559058710611908,0.1305284314361639,0.000987732144954988,0.060850536555271506
ECONOMIC,0.05630505781540764,0.050759598238755775,0.006814692720366102,0.13544699213227107
TECHNOLOGICAL,0.002422838138840253,0.03994433245460237,0.005314483363795586,0.027794062592800338
ECOLOGICAL__bin,0.07439404711757462,0.033888531852919575,0.06281449912791004,0.531412907088108
TERRORISM,0.0008433095163446836,-0.0019164193443613393,0.00028936540183024505,0.0018260710335922814
