scope,dv,n_models,best_aicc,top_weight
America,Outbreak,63,650.1786131320755,0.21911141242954627
Europe,Outbreak,63,725.0254545567069,1.2242775594161676e-17
Asia,Outbreak,63,934.9367522821475,3.2078994231206056e-63
Africa,Outbreak,63,1332.1170355587376,1.818101267338866e-149
Global,Outbreak,63,3748.365622870959,0.0
