spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,delta_aicc,akaike_weight,aicc_rank
fd6dd06ad2b406ce1e0f25fce4e0d756,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3531.752054,3531.786912,3574.294184,-1758.876027,True,3.753408,0.006534,21
fd6dd06ad2b406ce1e0f25fce4e0d756,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3531.752054,3531.786912,3574.294184,-1758.876027,True,3.753408,0.006534,22
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,23
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,24
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,25
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,26
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,27
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,28
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,29
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,30
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,31
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,32
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,33
