term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
POISONING__bin,0.004478022811089137,0.9285923363802404,3.428369926554672,1167.8252795260564
INTERSTATE__bin,0.02642906428795664,0.53512780485034,0.15260137609653895,0.8399793548018625
ECOLOGICAL__bin,0.2953691958927059,0.3199483764940086,4.062192939681234,1657.2577869959555
CLIMATIC,0.8267503392595147,0.13588662985544145,0.0032668781911580173,0.06118490963640356
TECHNOLOGICAL,0.015061637708063763,0.13394857455747167,0.015618948262144034,0.060514459808878804
INTRASTATE,0.014585439432405003,0.12349577370160585,0.020549166014627217,0.25948278136279423
TERRORISM,0.0019657612592307127,0.002774983212524238,0.0009387182369588591,0.0033972396608315156
GEOPHYSICAL,0.10548057952152828,-0.018033938492252596,0.288662494164821,0.416803941337204
ECONOMIC,0.14915367642883545,-0.0512596172805272,0.00358708718536163,0.19198405787214157
