term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
POISONING_lag_avg,0.02007970925448865,1.03671905431539,0.5943642609244505,0.8090641884257606
INTRASTATE_lag_avg,0.13450038070041334,0.6192494796492124,0.08626588231866597,0.28576958562144733
INTERSTATE_lag_avg,0.026149617964438984,0.5466362487509048,0.49737977276417905,1.4115721713491514
INTERSTATE__bin_lag_avg,0.038908909757990065,0.48505400906693924,0.4954391697373142,1.424379066944675
POISONING__bin_lag_avg,0.014409717225736505,0.2969443099695497,1.014543556704182,1.416035572794448
TECHNOLOGICAL_lag_avg,0.15494120356909902,0.19330077485682268,0.015582912457413747,0.05470672441730109
ECONOMIC_lag_avg,0.18923865232776493,0.16858471210974715,0.01607625528515993,0.18093355048769735
CLIMATIC_lag_avg,0.8170731611917879,0.06502299937574245,0.005960795142998102,0.0207603085800321
TERRORISM_lag_avg,0.0052840563369433696,0.0007844479675144808,0.00034198840819824066,0.0013133961151504648
GEOPHYSICAL_lag_avg,0.05793991436703352,-0.06771590953051698,0.059324418333606514,0.22668225623113622
GEOPHYSICAL__bin_lag_avg,0.08571981348182481,-0.08472972177151655,0.09658887661343865,0.403536077222146
ECOLOGICAL__bin_lag_avg,0.2598917129912212,-0.17876162692752925,0.09623426523454014,0.9858634618694582
ECOLOGICAL_lag_avg,0.18310776638292317,-0.19009408281952084,0.10585541221668407,0.99083698461059
