continent,rows,outbreaks,outbreak_rate,mean_cases,mean_deaths
Africa,1085,381,0.3511520737327189,2680.129953917051,121.53548387096774
America,554,147,0.26534296028880866,1092.1841155234656,31.45667870036101
Asia,765,201,0.2627450980392157,1208.5071895424837,31.71372549019608
Europe,730,139,0.19041095890410958,365.15616438356165,0.6356164383561644
Oceania,87,9,0.10344827586206896,0.022988505747126436,0.022988505747126436
